Dates,IHG LN Equity,DNLM LN Equity,GRG LN Equity,TRIG LN Equity,RDSB LN Equity,INVP LN Equity,PRU LN Equity,LLOY LN Equity,SN/ LN Equity,GSK LN Equity,AZN LN Equity,SMIN LN Equity,KNOS LN Equity,FSKY LN Equity,INRG LN Equity,RTWO LN Equity,MNDI LN Equity,GLEN LN Equity,CRH LN Equity,GLRE LN Equity,BLND LN Equity,UTG LN Equity,PNN LN Equity
7/22/2020,3847,1231,1518,131.717,1208.2,167.6,1225.5,30.32,1634,1604.8,8801,1462,842,2545.25,660.75,62.89,1495,178.82,3044,29.855,375.5,949.5,1642.499
7/23/2020,3786,1254,1507,133.11,1199.2,165.25,1203,30.165,1674,1607.8,8751,1476,849,2556.25,672.75,63.46,1479,183.56,3037,29.835,366.4,946,1580.999
7/24/2020,3768,1218,1481,132.712,1193.2,163.2,1150,29.695,1611,1580.2,8652,1436,827,2471.5,649.5,62.3,1442,182.8,2981,29.545,358.5,929.5,1602.749
7/27/2020,3619,1204,1459,133.309,1184.4,159.5,1156.5,28.9,1596,1583.4,8648,1430.5,1036,2435.5,649.75,61.97,1438.5,185,3001,29.515,350,913,1602.749
7/28/2020,3668,1233,1369,135.099,1183.8,161,1160,29.22,1630,1604.6,8700,1436,1074,2460.25,643.25,62.55,1427,183.1,2944,30.06,355.3,940.5,1631.249
7/29/2020,3634,1230,1326,133.906,1181.4,163.35,1168,28.365,1619.5,1553.8,8615,1426,1058,2483,641,62.895,1448.5,182.16,2901,30.475,362.4,957,1628.249
7/30/2020,3595,1214,1236,132.712,1113.8,155.2,1112,26.205,1549,1529.2,8751,1363,1086,2458.5,636.75,62.785,1394,177.06,2824,30.47,357.5,940.5,1578.749
7/31/2020,3516,1230,1195,132.314,1080.8,150.5,1105.5,26.285,1517.5,1529.8,8530,1355,1100,2458.5,629.5,61.99,1363,174.64,2766,30.3,366.1,939,1598.249
08/03/2020,3612,1246,1193,133.906,1100.8,150.85,1154,27.87,1545.5,1585.4,8767,1410,1160,2538.75,643,63.095,1408.5,180.92,2881,30.11,365.5,932.5,1607.249
08/04/2020,3709,1247,1299,135.895,1141.4,151.85,1167,28.155,1533,1573,8550,1410,1098,2543,665.5,63.845,1424,182.54,2856,30.645,375,948.5,1595.249
08/05/2020,3844,1265,1304,135.895,1158.2,150.1,1198.5,28.175,1549,1573.2,8500,1449,1134,2525.5,674,64.77,1425,196.2,2933,30.72,380.2,962,1580.999
08/06/2020,3848,1269,1353,136.293,1136.6,148,1183.5,28.16,1535.5,1550,8419,1436,1146,2494.25,683.25,65.03,1469.5,180.34,2917,30.655,370,950,1574.249
08/07/2020,3911,1299,1414,137.288,1116.8,143.85,1204.5,27.785,1581,1555.2,8470,1442.5,1136,2484.5,706,65.775,1486,174.56,2955,30.805,369.2,948.5,1597.499
08/10/2020,4001,1287,1407,135.298,1131.4,145.2,1232,28.415,1563,1553.2,8380,1446,1166,2421.25,698,67.24,1484.5,171.82,2986,31.25,370.6,937,1600.499
08/11/2020,4193,1313,1477,134.9,1171.4,152.6,1267,29.455,1577,1576,8450,1486,1132,2435,704.75,67.62,1519.5,177.88,3020,31.16,379.3,959,1572.749
08/12/2020,4181,1382,1465,135.895,1204.4,153.3,1288.5,29.69,1611.5,1611.6,8699,1485,1108,2438.25,699.875,67.11,1546.5,179.46,3087,31.02,373.7,955,1649.999
8/13/2020,4226,1371,1486,133.906,1160.4,150.25,1268,29.18,1592,1569.8,8542,1468.5,1130,2441.5,717,66.825,1539,176.14,3054,30.99,371,948.5,1610.999
8/14/2020,4148,1356,1478,131.916,1131.4,149.65,1256.5,28.95,1566.5,1535.8,8381,1420.5,1096,2420.25,710.375,66.68,1529,170.52,2995,30.89,366.3,940,1586.999
8/17/2020,4048,1360,1449,130.921,1120,146.55,1248.5,28.625,1566.5,1555.6,8579,1436.5,1112,2432.75,712,66.88,1554.5,174,3045,30.925,359.2,946,1575.749
8/18/2020,3939,1361,1439,131.319,1106,142.55,1238.5,28.185,1529,1539,8492,1435.5,1124,2431.25,708.25,66.44,1527.5,172.02,3008,30.735,351.9,942,1538.999
8/19/2020,3996,1363,1431,131.717,1108,143.55,1250.5,28.66,1534.5,1550.8,8608,1435,1100,2461.25,725,66.845,1533,176.12,3007,30.485,350,933,1544.999
8/20/2020,4030,1366,1394,133.11,1082.8,139.55,1222,28.135,1524,1525,8549,1419,1106,2486.25,716.5,66.05,1451,168.78,2951,30.71,356,960.5,1520.999
8/21/2020,4280,1371,1412,134.105,1075.2,143.9,1215,28.1,1488,1515.2,8437,1422.5,1100,2509.25,716.75,65.485,1461.5,168.34,2977,30.6,360.6,967.5,1512.749
8/24/2020,4303,1365,1418,134.304,1115.4,147.6,1224.5,28.6,1510.5,1521.2,8611,1459.5,1120,2500.75,718.25,65.96,1491.5,171.9,3037,30.725,362.4,965.5,1529.999
8/25/2020,4448,1358,1396,133.906,1082,146.6,1206,28.2,1523.5,1517.8,8627,1438,1120,2524.25,736.25,65.885,1485.5,168.04,2933,30.895,358.5,953,1512.749
8/26/2020,4377,1381,1415,135.099,1076.4,147.2,1207.5,28.475,1502.5,1510.8,8599,1452.5,1120,2593.75,740.5,66.025,1505.5,169.6,2953,30.905,363.1,972,1522.499
